antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric,antecedents_len,consequents_len,antecedents_TF_motif,antecedents_dir,antecedents_time,consequents_TF_motif,consequents_dir,consequents_time,TF_peak_jaccard,peak_adj_lift
FOXO4_pos_2,ASCL1_pos_2,0.08666666666666667,0.18,7,0.5384615384615384,2.9914529914529915,0.03106666666666667,1.7766666666666666,0.7288842544316998,1,1,FOXO4,pos,2,ASCL1,pos,2,0.11904761904761904,2.635327635327635
PKNOX2_pos_2,ASCL1_pos_2,0.08666666666666667,0.18,7,0.5384615384615384,2.9914529914529915,0.03106666666666667,1.7766666666666666,0.7288842544316998,1,1,PKNOX2,pos,2,ASCL1,pos,2,0.11904761904761904,2.635327635327635
SNAI2_pos_2,NEUROD1_pos_2,0.10666666666666667,0.14666666666666667,7,0.4375,2.9829545454545454,0.031022222222222222,1.517037037037037,0.744136460554371,1,1,SNAI2,pos,2,NEUROD1,pos,2,0.1794871794871795,2.4475524475524475
ID4_pos_2,ALX3_neg_1,0.09333333333333334,0.12,5,0.3571428571428571,2.976190476190476,0.02213333333333333,1.3688888888888888,0.7323529411764705,1,1,ID4,pos,2,ALX3,neg,1,0.029411764705882353,2.8886554621848735
ZEB1_neg_4,EHF_neg_1,0.08,0.14,5,0.41666666666666663,2.976190476190476,0.02213333333333333,1.4742857142857142,0.7217391304347825,1,1,ZEB1,neg,4,EHF,neg,1,0.0,2.976190476190476
TCF7L1_pos_4,NHLH1_pos_2,0.08,0.14,5,0.41666666666666663,2.976190476190476,0.02213333333333333,1.4742857142857142,0.7217391304347825,1,1,TCF7L1,pos,4,NHLH1,pos,2,0.0,2.976190476190476
NFE2_pos_1,TFAP2C_pos_1,0.1,0.24666666666666667,11,0.7333333333333333,2.972972972972973,0.048666666666666664,2.8249999999999993,0.7373737373737373,1,1,NFE2,pos,1,TFAP2C,pos,1,0.0410958904109589,2.850796001480933
PITX3_pos_1,TFAP2C_pos_1,0.1,0.24666666666666667,11,0.7333333333333333,2.972972972972973,0.048666666666666664,2.8249999999999993,0.7373737373737373,1,1,PITX3,pos,1,TFAP2C,pos,1,0.056338028169014086,2.8054815378759037
T_neg_1,SREBF1_neg_1,0.07333333333333333,0.15333333333333332,5,0.45454545454545453,2.964426877470356,0.022088888888888887,1.5522222222222224,0.7151079136690648,1,1,T,neg,1,SREBF1,neg,1,0.023255813953488372,2.895486717529185
ELF3_pos_2,ELF3_neg_1,0.07333333333333333,0.15333333333333332,5,0.45454545454545453,2.964426877470356,0.022088888888888887,1.5522222222222224,0.7151079136690648,1,1,ELF3,pos,2,ELF3,neg,1,0.09090909090909091,2.6949335249730506
ELF3_pos_2,SREBF1_neg_1,0.07333333333333333,0.15333333333333332,5,0.45454545454545453,2.964426877470356,0.022088888888888887,1.5522222222222224,0.7151079136690648,1,1,ELF3,pos,2,SREBF1,neg,1,0.025,2.890316205533597
BACH2_neg_2,NFIC_neg_2,0.09333333333333334,0.19333333333333333,8,0.5714285714285714,2.955665024630542,0.03528888888888889,1.882222222222222,0.729779411764706,1,1,BACH2,neg,2,NFIC,neg,2,0.14893617021276595,2.5154595954302486
FOXG1_neg_1,FOXL1_neg_1,0.09333333333333334,0.26666666666666666,11,0.7857142857142857,2.9464285714285716,0.04844444444444444,3.422222222222222,0.7286096256684492,1,1,FOXG1,neg,1,FOXL1,neg,1,0.13793103448275862,2.540024630541872
MIXL1_neg_1,NFIX_neg_1,0.08,0.22666666666666666,8,0.6666666666666667,2.941176470588236,0.03520000000000001,2.3200000000000003,0.7173913043478262,1,1,MIXL1,neg,1,NFIX,neg,1,0.07692307692307693,2.714932126696833
ALX3_neg_1,NFIX_neg_1,0.12,0.22666666666666666,12,0.6666666666666667,2.941176470588236,0.0528,2.3200000000000003,0.75,1,1,ALX3,neg,1,NFIX,neg,1,0.08771929824561403,2.683178534571724
NKX3-2_neg_1,ALX3_neg_1,0.11333333333333333,0.12,6,0.35294117647058826,2.9411764705882355,0.0264,1.36,0.7443609022556391,1,1,NKX3-2,neg,1,ALX3,neg,1,0.02631578947368421,2.863777089783282
TFAP4_pos_2,ASCL1_pos_2,0.11333333333333333,0.18,9,0.5294117647058824,2.9411764705882355,0.039599999999999996,1.7425000000000002,0.744360902255639,1,1,TFAP4,pos,2,ASCL1,pos,2,0.20930232558139536,2.3255813953488373
STAT1_pos_8,ALX3_neg_1,0.11333333333333333,0.12,6,0.35294117647058826,2.9411764705882355,0.0264,1.36,0.7443609022556391,1,1,STAT1,pos,8,ALX3,neg,1,0.0,2.9411764705882355
LMX1A_neg_1,NFIX_neg_1,0.1,0.22666666666666666,10,0.6666666666666666,2.941176470588235,0.044,2.32,0.7333333333333333,1,1,LMX1A,neg,1,NFIX,neg,1,0.09259259259259259,2.6688453159041394
ATF4_pos_1,JUNB_pos_1,0.1,0.11333333333333333,5,0.3333333333333333,2.941176470588235,0.022,1.3299999999999998,0.7333333333333333,1,1,ATF4,pos,1,JUNB,pos,1,0.029411764705882353,2.854671280276816
NEUROD1_pos_4,STAT1_pos_8,0.1,0.11333333333333333,5,0.3333333333333333,2.941176470588235,0.022,1.3299999999999998,0.7333333333333333,1,1,NEUROD1,pos,4,STAT1,pos,8,0.0,2.941176470588235
LMX1A_neg_1,HOXB2_neg_1,0.1,0.11333333333333333,5,0.3333333333333333,2.941176470588235,0.022,1.3299999999999998,0.7333333333333333,1,1,LMX1A,neg,1,HOXB2,neg,1,0.13333333333333333,2.549019607843137
POU2F2_neg_0,NKX3-2_neg_1,0.1,0.11333333333333333,5,0.3333333333333333,2.941176470588235,0.022,1.3299999999999998,0.7333333333333333,1,1,POU2F2,neg,0,NKX3-2,neg,1,0.0,2.941176470588235
